execution_idx,application,class,clone_seed_p,LineCoverage_value,LineCoverage_evaluations,BranchCoverage_value,BranchCoverage_evaluations,ExceptionCoverage_value,ExceptionCoverage_evaluations,WeakMutation_value,WeakMutation_evaluations,OutputCoverage_value,OutputCoverage_evaluations,MethodCoverage_value,MethodCoverage_evaluations,CBranch_value,CBranch_evaluations,current_fitness_evaluations
1,1_tullibee,com.ib.client.Util,1.0,1.0 ,"[0.7857142857142857 ,0][0.8571428571428571 ,0][0.9642857142857143 ,0][1.0 ,0]",1.0 ,"[0.7575757575757576 ,0][0.7878787878787878 ,0][0.8787878787878788 ,0][0.9696969696969697 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.9183673469387755 ,"[0.7074829931972789 ,0][0.7142857142857143 ,0][0.8367346938775511 ,0][0.9115646258503401 ,0][0.9183673469387755 ,0]",0.8421052631578947 ,"[0.7894736842105263 ,0][0.8421052631578947 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[0.7575757575757576 ,0][0.7878787878787878 ,0][0.8787878787878788 ,0][0.9696969696969697 ,0][1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.SimilarProducts,1.0,1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",1.0 ,"[1.0 ,0]",0.9148936170212766 ,"[0.9148936170212766 ,0]",0.6 ,"[0.6 ,0]",1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.SellerProfileDetails,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9130434782608695 ,"[0.8260869565217391 ,0][0.9130434782608695 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,5_templateit,org.templateit.Parameter,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,1_tullibee,com.ib.client.EClientSocket,1.0,0.14086471408647142 ,"[0.09344490934449093 ,0][0.09483960948396095 ,0][0.11157601115760112 ,0][0.1199442119944212 ,0][0.13249651324965134 ,0][0.13389121338912133 ,0][0.13668061366806136 ,0][0.1394700139470014 ,0][0.14086471408647142 ,0]",0.18 ,"[0.10857142857142857 ,0][0.11142857142857143 ,0][0.12857142857142856 ,0][0.13714285714285715 ,0][0.16 ,0][0.1657142857142857 ,0][0.17142857142857143 ,0][0.17714285714285713 ,0][0.18 ,0]",1.0 ,"[1.0 ,0]",0.1888745148771022 ,"[0.1203104786545925 ,0][0.15135834411384216 ,0][0.16688227684346701 ,0][0.18499353169469598 ,0][0.18628719275549807 ,0][0.1888745148771022 ,0]",0.2571428571428571 ,"[0.05714285714285714 ,0][0.08571428571428572 ,0][0.14285714285714285 ,0][0.22857142857142856 ,0][0.2571428571428571 ,0]",1.0 ,"[0.6470588235294118 ,0][0.6666666666666666 ,0][0.7843137254901961 ,0][0.8431372549019608 ,0][0.9803921568627451 ,0][1.0 ,0]",0.18 ,"[0.10571428571428572 ,0][0.10857142857142857 ,0][0.12571428571428572 ,0][0.13428571428571429 ,0][0.16 ,0][0.1657142857142857 ,0][0.17142857142857143 ,0][0.17714285714285713 ,0][0.18 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.ThirdPartyProductInfo,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9166666666666666 ,"[0.9166666666666666 ,0]",0.6666666666666666 ,"[0.4166666666666667 ,0][0.6666666666666666 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,6_jnfe,br.com.jnfe.base.ConsReciNFe,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.ShoppingCart,1.0,0.9696969696969697 ,"[0.7575757575757576 ,0][0.8939393939393939 ,0][0.9545454545454546 ,0][0.9696969696969697 ,0]",1.0 ,"[0.7631578947368421 ,0][0.8421052631578947 ,0][0.8947368421052632 ,0][0.9210526315789473 ,0][0.9736842105263158 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.944 ,"[0.744 ,0][0.848 ,0][0.872 ,0][0.888 ,0][0.896 ,0][0.936 ,0][0.944 ,0]",0.7272727272727273 ,"[0.6818181818181818 ,0][0.7272727272727273 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[0.7631578947368421 ,0][0.8421052631578947 ,0][0.8947368421052632 ,0][0.9210526315789473 ,0][0.9736842105263158 ,0][1.0 ,0]",
1,1_tullibee,com.ib.client.Order,1.0,0.9836065573770492 ,"[0.5573770491803278 ,0][0.5737704918032787 ,0][0.6065573770491803 ,0][0.6885245901639344 ,0][0.9836065573770492 ,0]",0.9925925925925926 ,"[0.044444444444444446 ,0][0.3111111111111111 ,0][0.3333333333333333 ,0][0.34074074074074073 ,0][0.37037037037037035 ,0][0.3925925925925926 ,0][0.5037037037037037 ,0][0.6518518518518519 ,0][0.6814814814814815 ,0][0.7037037037037037 ,0][0.7555555555555555 ,0][0.8 ,0][0.8444444444444444 ,0][0.8740740740740741 ,0][0.9185185185185185 ,0][0.9333333333333333 ,0][0.9629629629629629 ,0][0.9703703703703703 ,0][0.9925925925925926 ,0]",1.0 ,"[1.0 ,0]",0.9970282317979198 ,"[0.05052005943536404 ,0][0.0549777117384844 ,0][0.5720653789004457 ,0][0.6508172362555721 ,0][0.6671619613670133 ,0][0.6924219910846954 ,0][0.7280832095096582 ,0][0.7399702823179792 ,0][0.7890044576523031 ,0][0.7919762258543833 ,0][0.8647845468053492 ,0][0.8974739970282318 ,0][0.9004457652303121 ,0][0.9212481426448736 ,0][0.9494799405646359 ,0][0.9598811292719168 ,0][0.9717682020802377 ,0][0.9806835066864784 ,0][0.9940564635958395 ,0][0.9955423476968797 ,0][0.9970282317979198 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9925925925925926 ,"[0.044444444444444446 ,0][0.3111111111111111 ,0][0.3333333333333333 ,0][0.34074074074074073 ,0][0.37037037037037035 ,0][0.3925925925925926 ,0][0.5037037037037037 ,0][0.6518518518518519 ,0][0.6814814814814815 ,0][0.7037037037037037 ,0][0.7555555555555555 ,0][0.8 ,0][0.8444444444444444 ,0][0.8740740740740741 ,0][0.9185185185185185 ,0][0.9333333333333333 ,0][0.9629629629629629 ,0][0.9703703703703703 ,0][0.9925925925925926 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Tracks,1.0,1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",1.0 ,"[1.0 ,0]",0.9148936170212766 ,"[0.9148936170212766 ,0]",0.6 ,"[0.5333333333333333 ,0][0.6 ,0]",1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",
1,2_a4j,net.kencochrane.a4j.DAO.Product,1.0,0.24193548387096775 ,"[0.22580645161290322 ,0][0.24193548387096775 ,0]",0.0967741935483871 ,"[0.06451612903225806 ,0][0.0967741935483871 ,0]",1.0 ,"[1.0 ,0]",0.5333333333333333 ,"[0.5333333333333333 ,0]",0.5 ,"[0.5 ,0]",1.0 ,"[1.0 ,0]",0.0967741935483871 ,"[0.06451612903225806 ,0][0.0967741935483871 ,0]",
1,2_a4j,net.kencochrane.a4j.DAO.Cart,1.0,0.3953488372093023 ,"[0.3953488372093023 ,0]",0.23076923076923078 ,"[0.23076923076923078 ,0]",1.0 ,"[1.0 ,0]",0.7956989247311828 ,"[0.7311827956989247 ,0][0.7956989247311828 ,0]",0.5 ,"[0.5 ,0]",1.0 ,"[1.0 ,0]",0.23076923076923078 ,"[0.23076923076923078 ,0]",
